Link,Car Name,Price,City,Registered In,Mileage,Fuel Type,Engine,Transmission
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  1986 DX Saloon for Sale,PKR 6.5lacs,Karachi,1986,"100,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2017 GLi 1.3 VVTi for Sale,PKR 42.75lacs,Islamabad,2017,"96,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2012 DX 1.3 for Sale,PKR 22.6lacs,Islamabad,2012,"86,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2007 i-DSI for Sale,PKR 20.75lacs,Islamabad,2007,"100,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2017 XLi VVTi for Sale,PKR 36.8lacs,Karachi,2017,"58,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 25.95lacs,Islamabad,2012,"151,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,PKR 34.25lacs,Karachi,2016,"95,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,PKR 52lacs,Lahore,2020,"81,500 km",Petrol,1300 cc,Automatic
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,PKR 36.9lacs,Islamabad,2016,"86,000 km",Petrol,1300 cc,Manual
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,PKR 42.35lacs,Islamabad,2016,"115,000 km",Petrol,1300 cc,Automatic
