link,car_name,price,city,registered_in,mileage,fuel_type,engine,transmission,car_brand,car_model,extracted_engine,car_brand_encoded,car_model_encoded,city_encoded,fuel_type_encoded,transmission_encoded
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2006 i-DSI for Sale,1875000.0,lahore,2006,145000,petrol,1300.0,manual,honda,city,,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2008 GLi 1.3 for Sale,2150000.0,lahore,2008,208000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City  2007 i-DSI for Sale,2089999.9999999998,lahore,2007,205000,petrol,1300.0,manual,honda,city,,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC Prosmatec for Sale,2650000.0,karachi,2012,104000,petrol,1300.0,automatic,honda,city,1300.0,2,4,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,2780000.0,lahore,2013,149000,petrol,1300.0,manual,honda,city,1300.0,2,4,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2015 DLX 1.3 for Sale,2250000.0,karachi,2015,185000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2015 GLi Automatic 1.3 VVTi for Sale,3590000.0,islamabad,2015,140000,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  2012 XLi VVTi for Sale,2900000.0,islamabad,2012,165000,petrol,1300.0,manual,toyota,corolla,,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Suzuki Swift  2011 DLX 1.3 for Sale,1850000.0,islamabad,2011,9000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=2,Toyota Corolla  1986 DX Saloon for Sale,650000.0,karachi,1986,100000,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2017 GLi 1.3 VVTi for Sale,4275000.0,islamabad,2017,96000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2012 DX 1.3 for Sale,2260000.0,islamabad,2012,86000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2007 i-DSI for Sale,2075000.0,islamabad,2007,100000,petrol,1300.0,manual,honda,city,,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2017 XLi VVTi for Sale,3679999.9999999995,karachi,2017,58000,petrol,1300.0,manual,toyota,corolla,,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,2595000.0,islamabad,2012,151000,petrol,1300.0,manual,honda,city,1300.0,2,4,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,3425000.0,karachi,2016,95000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,5200000.0,lahore,2020,81500,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi 1.3 VVTi for Sale,3690000.0,islamabad,2016,86000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,4235000.0,islamabad,2016,115000,petrol,1300.0,automatic,toyota,corolla,1300.0,10,6,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2015 GLi 1.3 VVTi for Sale4.2/10,3200000.0,karachi,2015,131320,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2019 XLi Automatic for Sale,4350000.0,lahore,2019,53000,petrol,1300.0,automatic,toyota,corolla,,10,6,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2025 AERO CVT 1.3 for Sale,5050000.0,lahore,2025,30,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,2,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Honda City  2009 1.3 i-VTEC Prosmatec for Sale,2375000.0,karachi,2009,92321,petrol,1300.0,automatic,honda,city,1300.0,2,4,1,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2012 XLi VVTi for Sale,2790000.0,lahore,2012,162000,petrol,1300.0,manual,toyota,corolla,,10,6,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,5090000.0,islamabad,2025,47,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2011 DLX 1.3 for Sale,1650000.0,karachi,2011,128000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Suzuki Swift  2017 DLX 1.3 for Sale,2675000.0,islamabad,2017,72000,petrol,1300.0,manual,suzuki,swift,1300.0,9,14,0,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,2300000.0,karachi,2010,152000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,1,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2008 iLL 1.3 for Sale,3000000.0,islamabad,2008,180000,petrol,1300.0,automatic,toyota,vitz,1300.0,10,17,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Vitz  2007 F 1.3 for Sale,2250000.0,islamabad,2007,22500,petrol,1300.0,automatic,toyota,vitz,1300.0,10,17,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Belta  2006 X 1.3 for Sale,2550000.0,islamabad,2006,200000,petrol,1300.0,automatic,toyota,unknown,1300.0,10,16,0,4,0
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,2385000.0,lahore,2010,200000,petrol,1300.0,manual,toyota,corolla,1300.0,10,6,2,4,1
https://www.pakwheels.com/used-cars/search/-/ct_lahore/ct_karachi/ct_islamabad/ec_1300_1300/?page=3,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,4595000.0,lahore,2021,18700,petrol,1300.0,automatic,toyota,yaris,1300.0,10,18,2,4,0
